1, 1, 20, 1, 0
2, 1, 19, 1, 0
3, 20, 1, 1, 0
4, 19, 1, 1, 0
5, 2, 20, 1, 0
6, 2, 19, 1, 0
7, 20, 2, 1, 0
8, 19, 2, 1, 0
9, 3, 20, 1, 0
10, 3, 19, 1, 0
11, 20, 3, 1, 0
12, 19, 3, 1, 0
13, 4, 20, 1, 0
14, 4, 19, 1, 0
15, 20, 4, 1, 0
16, 19, 4, 1, 0
17, 5, 20, 1, 0
18, 5, 19, 1, 0
19, 20, 5, 1, 0
20, 19, 5, 1, 0
21, 6, 20, 1, 0
22, 6, 19, 1, 0
23, 20, 6, 1, 0
24, 19, 6, 1, 0
25, 7, 20, 1, 0
26, 7, 19, 1, 0
27, 20, 7, 1, 0
28, 19, 7, 1, 0
29, 8, 20, 1, 0
30, 8, 19, 1, 0
31, 20, 8, 1, 0
32, 19, 8, 1, 0
33, 9, 20, 1, 0
34, 9, 19, 1, 0
35, 20, 9, 1, 0
36, 19, 9, 1, 0
37, 10, 20, 1, 0
38, 10, 19, 1, 0
39, 20, 10, 1, 0
40, 19, 10, 1, 0
41, 11, 20, 1, 0
42, 11, 19, 1, 0
43, 20, 11, 1, 0
44, 19, 11, 1, 0
45, 12, 20, 1, 0
46, 12, 19, 1, 0
47, 20, 12, 1, 0
48, 19, 12, 1, 0
49, 13, 20, 1, 0
50, 13, 19, 1, 0
51, 20, 13, 1, 0
52, 19, 13, 1, 0
53, 14, 20, 1, 0
54, 14, 19, 1, 0
55, 20, 14, 1, 0
56, 19, 14, 1, 0
57, 15, 20, 1, 0
58, 15, 19, 1, 0
59, 20, 15, 1, 0
60, 19, 15, 1, 0
61, 16, 20, 1, 0
62, 16, 19, 1, 0
63, 20, 16, 1, 0
64, 19, 16, 1, 0
65, 17, 20, 1, 0
66, 17, 19, 1, 0
67, 20, 17, 1, 0
68, 19, 17, 1, 0
69, 18, 20, 1, 0
70, 18, 19, 1, 0
71, 20, 18, 1, 0
72, 19, 18, 1, 0
73, 19, 20, 1, 0
74, 19, 19, 1, 0
75, 20, 19, 1, 0
76, 19, 19, 1, 0
